Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
d3fcf79d-ef4a-1d3e-fe61-c06c865dd934,2024-08-26,,999-25-2427,,,,Modesto621,Mel236,Durgan499,,,,white,nonhispanic,M,Lynn  Massachusetts  US,796 Aufderhar Spur Apt 71,Weymouth,Massachusetts,Norfolk County,25021,02189,42.21545008051444,-70.90948699293534,4945.13,0.00,38072
2479f54e-867c-35e8-bfd7-0b38f030868f,1997-12-17,,999-91-9161,S99925897,X48212080X,Mr.,Lonnie913,Porfirio146,Kihn564,,,S,white,hispanic,M,Newton  Massachusetts  US,123 Wilderman Bypass,Andover,Massachusetts,Essex County,25009,01810,42.671283959790166,-71.15035161415427,51781.01,1070.54,605409
6feb14c8-1e46-8ce9-8c90-06c935c00dec,2005-03-20,,999-21-9998,S99926975,X3355978X,Ms.,Rosamond509,Londa304,Christiansen251,,,,white,nonhispanic,F,Boston  Massachusetts  US,316 Boehm Esplanade Apt 49,Wayland,Massachusetts,Middlesex County,,00000,42.31533481681009,-71.3688675557879,89485.60,151253.38,367979
6f3d76ee-ea79-b9a1-b513-81422c7f8cef,1985-10-21,,999-13-1091,S99961243,X20838442X,Mr.,Eduardo902,Rolf983,Goodwin327,,,M,white,nonhispanic,M,Harwich  Massachusetts  US,370 Steuber Port Unit 19,Cambridge,Massachusetts,Middlesex County,25017,02142,42.345494663884914,-71.10472242279275,109922.34,995.96,105380
15de1526-059d-da75-cc8f-df44bf82f0a2,1997-12-21,,999-36-8029,S99925112,X79034205X,Mr.,Ben667,,Kuhn96,,,S,white,nonhispanic,M,Brockton  Massachusetts  US,206 Koepp Spur Unit 82,Worcester,Massachusetts,Worcester County,25027,01606,42.246016597596046,-71.83341613693665,33121.14,23004.11,787481
576ce15f-e244-5d9a-d2d9-34e11fe964ef,1995-05-05,,999-91-9118,S99932372,X82718541X,Mr.,Morris740,Lindsay928,Blanda868,,,M,white,nonhispanic,M,Saugus  Massachusetts  US,341 Cremin Avenue,Boston,Massachusetts,Suffolk County,25025,02132,42.324227619963814,-71.06583217125947,86030.89,61166.50,72419
5455455d-4d0a-ddc3-0f9b-a99c26620781,1966-10-12,,999-62-9167,S99960078,X14162996X,Mr.,Tyler508,Dion244,Hudson301,,,M,white,nonhispanic,M,Ashburnham  Massachusetts  US,249 Walker Divide,South Hadley,Massachusetts,Hampshire County,,00000,42.300744403250064,-72.5656775843675,106810.11,2454.20,88863
561245a3-9589-50eb-6f6f-633354bbd9f7,1988-05-15,,999-39-3426,S99961836,X64141218X,Mr.,Federico589,Jay242,Langosh790,,,D,asian,nonhispanic,M,Somerset  Massachusetts  US,358 Watsica Gardens Suite 21,Winchester,Massachusetts,Middlesex County,25017,01890,42.439311205851396,-71.16092035276512,125522.24,0.00,57873
934c7b9e-11c7-afd6-85a1-94c0108265fb,1978-08-25,,999-50-9087,S99956812,X75345626X,Mr.,Bruno518,Lyman173,Purdy2,,,M,white,nonhispanic,M,Boston  Massachusetts  US,962 Price Plaza,Billerica,Massachusetts,Middlesex County,,00000,42.52974191986287,-71.29380544927741,135318.73,37168.40,75127
3dd1855f-d704-bc70-82dd-84a2404e46eb,2011-02-16,,999-24-9665,,,,Modesta635,Hermine424,Cartwright189,,,,white,nonhispanic,F,South Dennis  Massachusetts  US,1050 Streich Loaf Apt 18,Hampden,Massachusetts,Hampden County,,00000,42.080313665685,-72.45317435836533,51584.63,244568.25,75972
